exec_ts,product_delivery,side,qty_mw,price
2026-03-02 13:30:00+00:00,2026-03-03 00:00:00+00:00,SELL,10.0,23.23
2026-03-02 14:30:00+00:00,2026-03-03 01:00:00+00:00,SELL,10.0,25.11
2026-03-02 15:30:00+00:00,2026-03-03 02:00:00+00:00,BUY,10.0,24.07
2026-03-02 16:30:00+00:00,2026-03-03 03:00:00+00:00,SELL,10.0,31.32
2026-03-02 17:30:00+00:00,2026-03-03 04:00:00+00:00,SELL,10.0,29.43
2026-03-02 18:30:00+00:00,2026-03-03 05:00:00+00:00,BUY,10.0,29.1
2026-03-02 19:30:00+00:00,2026-03-03 06:00:00+00:00,BUY,10.0,38.94
2026-03-02 20:30:00+00:00,2026-03-03 07:00:00+00:00,SELL,10.0,46.29
2026-03-02 21:30:00+00:00,2026-03-03 08:00:00+00:00,BUY,10.0,43.42
2026-03-02 22:30:00+00:00,2026-03-03 09:00:00+00:00,BUY,10.0,41.1
2026-03-02 23:15:00+00:00,2026-03-03 00:00:00+00:00,BUY,10.0,26.39
2026-03-02 23:30:00+00:00,2026-03-03 10:00:00+00:00,BUY,10.0,36.4
2026-03-03 00:15:00+00:00,2026-03-03 01:00:00+00:00,BUY,10.0,32.56
2026-03-03 00:30:00+00:00,2026-03-03 11:00:00+00:00,BUY,10.0,41.8
2026-03-03 01:15:00+00:00,2026-03-03 02:00:00+00:00,SELL,10.0,32.69
2026-03-03 01:30:00+00:00,2026-03-03 12:00:00+00:00,BUY,10.0,33.29
2026-03-03 02:15:00+00:00,2026-03-03 03:00:00+00:00,BUY,10.0,32.13
2026-03-03 02:30:00+00:00,2026-03-03 13:00:00+00:00,SELL,10.0,28.8
2026-03-03 03:15:00+00:00,2026-03-03 04:00:00+00:00,BUY,10.0,34.02
2026-03-03 03:30:00+00:00,2026-03-03 14:00:00+00:00,SELL,10.0,39.02
2026-03-03 04:15:00+00:00,2026-03-03 05:00:00+00:00,SELL,10.0,38.57
