exec_ts,product_delivery,side,qty_mw,price
2026-01-01 18:45:00+00:00,2026-01-02 01:00:00+00:00,BUY,10.0,11.21
2026-01-01 20:00:00+00:00,2026-01-02 01:00:00+00:00,SELL,10.0,13.58
2026-01-02 18:45:00+00:00,2026-01-03 04:00:00+00:00,BUY,10.0,34.9
2026-01-02 19:45:00+00:00,2026-01-03 04:00:00+00:00,SELL,10.0,35.08
2026-01-03 02:00:00+00:00,2026-01-03 11:00:00+00:00,BUY,10.0,50.23
2026-01-03 03:00:00+00:00,2026-01-03 11:00:00+00:00,SELL,10.0,55.24
2026-01-03 06:00:00+00:00,2026-01-03 08:00:00+00:00,BUY,10.0,-9.88
2026-01-03 07:15:00+00:00,2026-01-03 08:00:00+00:00,SELL,10.0,-10.89
2026-01-03 07:30:00+00:00,2026-01-03 17:00:00+00:00,BUY,10.0,49.12
2026-01-03 09:00:00+00:00,2026-01-03 17:00:00+00:00,SELL,10.0,48.52
2026-01-03 14:30:00+00:00,2026-01-03 17:00:00+00:00,BUY,10.0,88.99
2026-01-03 15:15:00+00:00,2026-01-03 17:00:00+00:00,SELL,10.0,89.08
2026-01-03 21:30:00+00:00,2026-01-04 06:00:00+00:00,BUY,10.0,47.41
2026-01-03 23:00:00+00:00,2026-01-04 06:00:00+00:00,SELL,10.0,45.67
2026-01-03 23:45:00+00:00,2026-01-04 05:00:00+00:00,BUY,10.0,204.99
2026-01-04 00:15:00+00:00,2026-01-04 07:00:00+00:00,BUY,10.0,186.79
2026-01-04 00:30:00+00:00,2026-01-04 05:00:00+00:00,SELL,10.0,203.56
2026-01-04 01:00:00+00:00,2026-01-04 07:00:00+00:00,SELL,10.0,195.12
2026-01-04 02:00:00+00:00,2026-01-04 11:00:00+00:00,BUY,10.0,68.25
2026-01-04 03:15:00+00:00,2026-01-04 11:00:00+00:00,SELL,10.0,64.38
2026-01-04 03:45:00+00:00,2026-01-04 12:00:00+00:00,BUY,10.0,54.86
2026-01-04 04:45:00+00:00,2026-01-04 07:00:00+00:00,BUY,10.0,303.74
2026-01-04 05:00:00+00:00,2026-01-04 12:00:00+00:00,SELL,10.0,56.24
2026-01-04 05:30:00+00:00,2026-01-04 07:00:00+00:00,SELL,10.0,303.18
2026-01-04 07:45:00+00:00,2026-01-04 17:00:00+00:00,BUY,10.0,73.22
2026-01-04 08:00:00+00:00,2026-01-04 09:00:00+00:00,BUY,10.0,177.27
2026-01-04 08:15:00+00:00,2026-01-04 09:00:00+00:00,SELL,10.0,178.44
2026-01-04 09:30:00+00:00,2026-01-04 17:00:00+00:00,SELL,10.0,64.13
2026-01-04 11:15:00+00:00,2026-01-04 18:00:00+00:00,BUY,10.0,158.32
2026-01-04 11:30:00+00:00,2026-01-04 20:00:00+00:00,BUY,10.0,62.8
2026-01-04 12:00:00+00:00,2026-01-04 18:00:00+00:00,SELL,10.0,159.38
