exec_ts,product_delivery,side,qty_mw,price
2025-01-09 22:30:00+00:00,2025-01-10 03:00:00+00:00,BUY,10.0,59.39
2025-01-09 23:30:00+00:00,2025-01-10 04:00:00+00:00,BUY,10.0,64.65
2025-01-10 00:30:00+00:00,2025-01-10 05:00:00+00:00,BUY,10.0,76.48
2025-01-10 01:30:00+00:00,2025-01-10 06:00:00+00:00,BUY,10.0,111.62
2025-01-10 02:15:00+00:00,2025-01-10 03:00:00+00:00,SELL,10.0,51.17
2025-01-10 02:30:00+00:00,2025-01-10 07:00:00+00:00,BUY,10.0,106.88
2025-01-10 03:15:00+00:00,2025-01-10 04:00:00+00:00,SELL,10.0,58.48
2025-01-10 03:30:00+00:00,2025-01-10 08:00:00+00:00,BUY,10.0,73.8
2025-01-10 04:15:00+00:00,2025-01-10 05:00:00+00:00,SELL,10.0,-16.19
2025-01-10 04:30:00+00:00,2025-01-10 09:00:00+00:00,BUY,10.0,81.99
2025-01-10 05:15:00+00:00,2025-01-10 06:00:00+00:00,SELL,10.0,102.98
2025-01-10 05:30:00+00:00,2025-01-10 10:00:00+00:00,BUY,10.0,186.7
2025-01-10 06:15:00+00:00,2025-01-10 07:00:00+00:00,SELL,10.0,107.98
2025-01-10 06:30:00+00:00,2025-01-10 11:00:00+00:00,BUY,10.0,54.31
2025-01-10 07:15:00+00:00,2025-01-10 08:00:00+00:00,SELL,10.0,117.62
2025-01-10 07:30:00+00:00,2025-01-10 12:00:00+00:00,BUY,10.0,97.92
2025-01-10 08:15:00+00:00,2025-01-10 09:00:00+00:00,SELL,10.0,73.64
2025-01-10 08:30:00+00:00,2025-01-10 13:00:00+00:00,BUY,10.0,17.78
2025-01-10 09:15:00+00:00,2025-01-10 10:00:00+00:00,SELL,10.0,154.71
2025-01-10 09:30:00+00:00,2025-01-10 14:00:00+00:00,BUY,10.0,146.37
2025-01-10 10:15:00+00:00,2025-01-10 11:00:00+00:00,SELL,10.0,44.13
2025-01-10 10:30:00+00:00,2025-01-10 15:00:00+00:00,BUY,10.0,51.95
2025-01-10 11:15:00+00:00,2025-01-10 12:00:00+00:00,SELL,10.0,148.9
2025-01-10 11:30:00+00:00,2025-01-10 16:00:00+00:00,BUY,10.0,155.4
2025-01-10 12:15:00+00:00,2025-01-10 13:00:00+00:00,SELL,10.0,10.85
2025-01-10 12:30:00+00:00,2025-01-10 17:00:00+00:00,BUY,10.0,66.7
2025-01-10 13:15:00+00:00,2025-01-10 14:00:00+00:00,SELL,10.0,137.99
2025-01-10 13:30:00+00:00,2025-01-10 18:00:00+00:00,BUY,10.0,88.62
2025-01-10 14:15:00+00:00,2025-01-10 15:00:00+00:00,SELL,10.0,43.65
2025-01-10 14:30:00+00:00,2025-01-10 19:00:00+00:00,BUY,10.0,68.43
2025-01-10 15:15:00+00:00,2025-01-10 16:00:00+00:00,SELL,10.0,138.94
2025-01-10 15:30:00+00:00,2025-01-10 20:00:00+00:00,BUY,10.0,67.5
2025-01-10 16:15:00+00:00,2025-01-10 17:00:00+00:00,SELL,10.0,65.54
2025-01-10 16:30:00+00:00,2025-01-10 21:00:00+00:00,BUY,10.0,58.98
2025-01-10 17:15:00+00:00,2025-01-10 18:00:00+00:00,SELL,10.0,82.57
2025-01-10 18:15:00+00:00,2025-01-10 19:00:00+00:00,SELL,10.0,138.93
2025-01-10 19:15:00+00:00,2025-01-10 20:00:00+00:00,SELL,10.0,177.4
2025-01-10 20:15:00+00:00,2025-01-10 21:00:00+00:00,SELL,10.0,52.7
2025-01-11 00:30:00+00:00,2025-01-11 05:00:00+00:00,BUY,10.0,85.73
2025-01-11 01:30:00+00:00,2025-01-11 06:00:00+00:00,BUY,10.0,53.44
2025-01-11 02:30:00+00:00,2025-01-11 07:00:00+00:00,BUY,10.0,28.82
2025-01-11 03:30:00+00:00,2025-01-11 08:00:00+00:00,BUY,10.0,73.58
2025-01-11 04:15:00+00:00,2025-01-11 05:00:00+00:00,SELL,10.0,77.32
2025-01-11 04:30:00+00:00,2025-01-11 09:00:00+00:00,BUY,10.0,79.33
2025-01-11 05:15:00+00:00,2025-01-11 06:00:00+00:00,SELL,10.0,77.22
2025-01-11 05:30:00+00:00,2025-01-11 10:00:00+00:00,BUY,10.0,65.31
2025-01-11 06:15:00+00:00,2025-01-11 07:00:00+00:00,SELL,10.0,29.51
2025-01-11 06:30:00+00:00,2025-01-11 11:00:00+00:00,BUY,10.0,64.49
2025-01-11 07:15:00+00:00,2025-01-11 08:00:00+00:00,SELL,10.0,72.4
2025-01-11 08:15:00+00:00,2025-01-11 09:00:00+00:00,SELL,10.0,76.55
2025-01-11 09:15:00+00:00,2025-01-11 10:00:00+00:00,SELL,10.0,62.8
2025-01-11 10:15:00+00:00,2025-01-11 11:00:00+00:00,SELL,10.0,66.02
2025-01-11 11:30:00+00:00,2025-01-11 16:00:00+00:00,BUY,10.0,66.33
2025-01-11 12:30:00+00:00,2025-01-11 17:00:00+00:00,BUY,10.0,74.49
2025-01-11 13:30:00+00:00,2025-01-11 18:00:00+00:00,BUY,10.0,67.76
2025-01-11 14:30:00+00:00,2025-01-11 19:00:00+00:00,BUY,10.0,56.07
2025-01-11 15:15:00+00:00,2025-01-11 16:00:00+00:00,SELL,10.0,69.9
2025-01-11 15:30:00+00:00,2025-01-11 20:00:00+00:00,BUY,10.0,74.31
2025-01-11 16:15:00+00:00,2025-01-11 17:00:00+00:00,SELL,10.0,70.8
2025-01-11 16:30:00+00:00,2025-01-11 21:00:00+00:00,BUY,10.0,55.37
2025-01-11 17:15:00+00:00,2025-01-11 18:00:00+00:00,SELL,10.0,70.53
2025-01-11 18:15:00+00:00,2025-01-11 19:00:00+00:00,SELL,10.0,126.36
