exec_ts,product_delivery,side,qty_mw,price
2024-12-31 14:30:00+00:00,2025-01-01 00:00:00+00:00,SELL,10.0,34.83
2024-12-31 15:00:00+00:00,2025-01-01 00:00:00+00:00,BUY,10.0,33.71
2024-12-31 15:30:00+00:00,2025-01-01 01:00:00+00:00,SELL,10.0,38.35
2024-12-31 16:15:00+00:00,2025-01-01 01:00:00+00:00,BUY,10.0,34.24
2024-12-31 16:30:00+00:00,2025-01-01 02:00:00+00:00,SELL,10.0,37.1
2024-12-31 17:00:00+00:00,2025-01-01 02:00:00+00:00,BUY,10.0,33.94
2024-12-31 17:30:00+00:00,2025-01-01 03:00:00+00:00,SELL,10.0,42.05
2024-12-31 18:15:00+00:00,2025-01-01 03:00:00+00:00,BUY,10.0,38.52
2024-12-31 18:30:00+00:00,2025-01-01 04:00:00+00:00,SELL,10.0,41.7
2024-12-31 19:15:00+00:00,2025-01-01 04:00:00+00:00,BUY,10.0,39.07
2024-12-31 19:30:00+00:00,2025-01-01 05:00:00+00:00,SELL,10.0,41.12
2024-12-31 20:00:00+00:00,2025-01-01 05:00:00+00:00,BUY,10.0,37.66
2024-12-31 20:30:00+00:00,2025-01-01 06:00:00+00:00,SELL,10.0,66.3
2024-12-31 21:15:00+00:00,2025-01-01 06:00:00+00:00,BUY,10.0,51.03
2024-12-31 21:30:00+00:00,2025-01-01 07:00:00+00:00,SELL,10.0,66.72
2024-12-31 22:00:00+00:00,2025-01-01 07:00:00+00:00,BUY,10.0,65.42
2024-12-31 23:30:00+00:00,2025-01-01 09:00:00+00:00,SELL,10.0,46.71
2025-01-01 00:00:00+00:00,2025-01-01 09:00:00+00:00,BUY,10.0,44.72
2025-01-01 00:30:00+00:00,2025-01-01 10:00:00+00:00,SELL,10.0,63.24
2025-01-01 01:15:00+00:00,2025-01-01 10:00:00+00:00,BUY,10.0,47.61
2025-01-01 01:30:00+00:00,2025-01-01 11:00:00+00:00,SELL,10.0,50.62
2025-01-01 02:15:00+00:00,2025-01-01 11:00:00+00:00,BUY,10.0,43.1
2025-01-01 02:30:00+00:00,2025-01-01 12:00:00+00:00,SELL,10.0,50.49
2025-01-01 03:15:00+00:00,2025-01-01 12:00:00+00:00,BUY,10.0,43.08
2025-01-01 03:30:00+00:00,2025-01-01 13:00:00+00:00,SELL,10.0,54.47
2025-01-01 04:15:00+00:00,2025-01-01 13:00:00+00:00,BUY,10.0,45.35
2025-01-01 04:30:00+00:00,2025-01-01 14:00:00+00:00,SELL,10.0,44.43
2025-01-01 05:15:00+00:00,2025-01-01 14:00:00+00:00,BUY,10.0,35.25
2025-01-01 06:30:00+00:00,2025-01-01 16:00:00+00:00,SELL,10.0,48.55
2025-01-01 07:00:00+00:00,2025-01-01 16:00:00+00:00,BUY,10.0,43.8
2025-01-01 07:30:00+00:00,2025-01-01 17:00:00+00:00,SELL,10.0,63.21
2025-01-01 08:15:00+00:00,2025-01-01 17:00:00+00:00,BUY,10.0,51.67
2025-01-01 09:30:00+00:00,2025-01-01 19:00:00+00:00,SELL,10.0,49.74
2025-01-01 10:00:00+00:00,2025-01-01 19:00:00+00:00,BUY,10.0,45.1
2025-01-01 10:30:00+00:00,2025-01-01 20:00:00+00:00,SELL,10.0,49.07
2025-01-01 11:00:00+00:00,2025-01-01 20:00:00+00:00,BUY,10.0,46.4
2025-01-01 11:30:00+00:00,2025-01-01 21:00:00+00:00,SELL,10.0,54.93
2025-01-01 12:00:00+00:00,2025-01-01 21:00:00+00:00,BUY,10.0,53.13
2025-01-01 12:30:00+00:00,2025-01-01 22:00:00+00:00,SELL,10.0,47.88
2025-01-01 13:15:00+00:00,2025-01-01 22:00:00+00:00,BUY,10.0,41.6
2025-01-01 13:30:00+00:00,2025-01-01 23:00:00+00:00,SELL,10.0,33.58
2025-01-01 14:15:00+00:00,2025-01-01 23:00:00+00:00,BUY,10.0,30.75
2025-01-01 14:30:00+00:00,2025-01-02 00:00:00+00:00,SELL,10.0,36.38
2025-01-01 15:00:00+00:00,2025-01-02 00:00:00+00:00,BUY,10.0,34.6
2025-01-01 16:30:00+00:00,2025-01-02 02:00:00+00:00,SELL,10.0,39.02
2025-01-01 17:15:00+00:00,2025-01-02 02:00:00+00:00,BUY,10.0,35.61
2025-01-01 17:30:00+00:00,2025-01-02 03:00:00+00:00,SELL,10.0,40.69
2025-01-01 18:00:00+00:00,2025-01-02 03:00:00+00:00,BUY,10.0,36.63
2025-01-01 18:30:00+00:00,2025-01-02 04:00:00+00:00,SELL,10.0,40.47
2025-01-01 19:15:00+00:00,2025-01-02 04:00:00+00:00,BUY,10.0,37.25
2025-01-01 19:30:00+00:00,2025-01-02 05:00:00+00:00,SELL,10.0,46.61
