exec_ts,product_delivery,side,qty_mw,price
2025-05-26 20:30:00+00:00,2025-05-27 07:00:00+00:00,SELL,10.0,56.48
2025-05-26 22:00:00+00:00,2025-05-27 07:00:00+00:00,BUY,10.0,49.55
2025-05-27 15:30:00+00:00,2025-05-28 02:00:00+00:00,BUY,10.0,24.13
2025-05-27 16:30:00+00:00,2025-05-28 03:00:00+00:00,BUY,10.0,36.72
2025-05-27 17:15:00+00:00,2025-05-28 02:00:00+00:00,SELL,10.0,32.35
2025-05-27 18:00:00+00:00,2025-05-28 03:00:00+00:00,SELL,10.0,41.44
2025-05-27 18:30:00+00:00,2025-05-28 05:00:00+00:00,BUY,10.0,33.56
2025-05-27 19:30:00+00:00,2025-05-28 06:00:00+00:00,BUY,10.0,41.73
2025-05-27 20:30:00+00:00,2025-05-28 05:00:00+00:00,SELL,10.0,41.59
2025-05-27 21:00:00+00:00,2025-05-28 06:00:00+00:00,SELL,10.0,46.81
2025-05-27 22:30:00+00:00,2025-05-28 09:00:00+00:00,BUY,10.0,37.56
2025-05-27 23:30:00+00:00,2025-05-28 09:00:00+00:00,SELL,10.0,41.98
2025-05-27 23:30:00+00:00,2025-05-28 10:00:00+00:00,BUY,10.0,42.06
2025-05-28 01:00:00+00:00,2025-05-28 10:00:00+00:00,SELL,10.0,47.82
2025-06-01 13:30:00+00:00,2025-06-02 00:00:00+00:00,SELL,10.0,33.89
2025-06-01 15:30:00+00:00,2025-06-02 00:00:00+00:00,BUY,10.0,27.4
2025-06-03 16:30:00+00:00,2025-06-04 03:00:00+00:00,SELL,10.0,43.77
2025-06-03 18:30:00+00:00,2025-06-04 03:00:00+00:00,BUY,10.0,42.52
2025-06-03 19:30:00+00:00,2025-06-04 06:00:00+00:00,SELL,10.0,56.44
2025-06-03 20:45:00+00:00,2025-06-04 06:00:00+00:00,BUY,10.0,54.61
2025-06-04 05:30:00+00:00,2025-06-04 16:00:00+00:00,SELL,10.0,40.51
2025-06-04 06:45:00+00:00,2025-06-04 16:00:00+00:00,BUY,10.0,43.88
2025-06-04 07:30:00+00:00,2025-06-04 18:00:00+00:00,SELL,10.0,65.48
2025-06-04 08:45:00+00:00,2025-06-04 18:00:00+00:00,BUY,10.0,60.93
2025-06-04 16:00:00+00:00,2025-06-05 01:00:00+00:00,SELL,10.0,39.24
2025-06-04 17:00:00+00:00,2025-06-05 01:00:00+00:00,BUY,10.0,35.17
2025-06-04 21:00:00+00:00,2025-06-05 03:00:00+00:00,SELL,10.0,35.17
2025-06-04 22:30:00+00:00,2025-06-05 03:00:00+00:00,BUY,10.0,30.81
2025-06-05 14:30:00+00:00,2025-06-06 01:00:00+00:00,BUY,10.0,27.93
2025-06-05 15:45:00+00:00,2025-06-06 01:00:00+00:00,SELL,10.0,34.64
2025-06-05 16:30:00+00:00,2025-06-06 03:00:00+00:00,BUY,10.0,28.45
2025-06-05 17:45:00+00:00,2025-06-06 03:00:00+00:00,SELL,10.0,32.27
2025-06-05 23:30:00+00:00,2025-06-06 10:00:00+00:00,BUY,10.0,31.47
2025-06-06 01:00:00+00:00,2025-06-06 10:00:00+00:00,SELL,10.0,37.87
2025-06-06 02:30:00+00:00,2025-06-06 13:00:00+00:00,BUY,10.0,24.5
2025-06-06 04:45:00+00:00,2025-06-06 13:00:00+00:00,SELL,10.0,37.14
2025-06-06 05:30:00+00:00,2025-06-06 16:00:00+00:00,BUY,10.0,24.15
2025-06-06 06:45:00+00:00,2025-06-06 16:00:00+00:00,SELL,10.0,33.28
2025-06-06 08:30:00+00:00,2025-06-06 19:00:00+00:00,BUY,10.0,38.89
2025-06-06 09:45:00+00:00,2025-06-06 19:00:00+00:00,SELL,10.0,42.81
2025-06-06 10:30:00+00:00,2025-06-06 21:00:00+00:00,BUY,10.0,28.3
2025-06-06 11:45:00+00:00,2025-06-06 21:00:00+00:00,SELL,10.0,33.21
2025-06-06 14:30:00+00:00,2025-06-07 01:00:00+00:00,SELL,10.0,34.48
2025-06-06 15:45:00+00:00,2025-06-07 01:00:00+00:00,BUY,10.0,33.11
2025-06-06 17:30:00+00:00,2025-06-07 04:00:00+00:00,SELL,10.0,39.63
2025-06-06 18:45:00+00:00,2025-06-07 04:00:00+00:00,BUY,10.0,35.45
2025-06-06 20:30:00+00:00,2025-06-07 07:00:00+00:00,SELL,10.0,64.19
2025-06-06 22:00:00+00:00,2025-06-07 07:00:00+00:00,BUY,10.0,57.49
2025-06-07 04:00:00+00:00,2025-06-07 12:00:00+00:00,BUY,10.0,39.96
2025-06-07 05:30:00+00:00,2025-06-07 16:00:00+00:00,SELL,10.0,46.3
2025-06-07 05:45:00+00:00,2025-06-07 12:00:00+00:00,SELL,10.0,37.94
2025-06-07 06:00:00+00:00,2025-06-07 14:00:00+00:00,BUY,10.0,38.71
2025-06-07 07:00:00+00:00,2025-06-07 16:00:00+00:00,BUY,10.0,44.09
2025-06-07 07:15:00+00:00,2025-06-07 14:00:00+00:00,SELL,10.0,38.57
2025-06-07 08:30:00+00:00,2025-06-07 19:00:00+00:00,SELL,10.0,47.13
2025-06-07 09:45:00+00:00,2025-06-07 19:00:00+00:00,BUY,10.0,41.03
2025-06-07 11:30:00+00:00,2025-06-07 22:00:00+00:00,SELL,10.0,29.67
2025-06-07 12:45:00+00:00,2025-06-07 22:00:00+00:00,BUY,10.0,27.31
2025-06-07 13:30:00+00:00,2025-06-08 00:00:00+00:00,BUY,10.0,32.53
2025-06-07 14:30:00+00:00,2025-06-08 01:00:00+00:00,BUY,10.0,31.02
2025-06-07 15:30:00+00:00,2025-06-08 00:00:00+00:00,SELL,10.0,40.46
2025-06-07 15:30:00+00:00,2025-06-08 02:00:00+00:00,BUY,10.0,31.17
2025-06-07 16:30:00+00:00,2025-06-08 03:00:00+00:00,BUY,10.0,32.32
2025-06-07 17:30:00+00:00,2025-06-08 01:00:00+00:00,SELL,10.0,39.13
2025-06-07 17:30:00+00:00,2025-06-08 04:00:00+00:00,BUY,10.0,39.59
2025-06-07 18:30:00+00:00,2025-06-08 02:00:00+00:00,SELL,10.0,37.11
2025-06-07 18:45:00+00:00,2025-06-08 03:00:00+00:00,SELL,10.0,42.27
2025-06-07 19:30:00+00:00,2025-06-08 06:00:00+00:00,BUY,10.0,35.48
2025-06-07 19:45:00+00:00,2025-06-08 04:00:00+00:00,SELL,10.0,47.52
2025-06-07 20:30:00+00:00,2025-06-08 07:00:00+00:00,BUY,10.0,48.0
2025-06-07 21:30:00+00:00,2025-06-08 08:00:00+00:00,BUY,10.0,42.54
2025-06-07 22:30:00+00:00,2025-06-08 07:00:00+00:00,SELL,10.0,54.98
2025-06-07 22:30:00+00:00,2025-06-08 06:00:00+00:00,SELL,10.0,44.73
2025-06-07 23:00:00+00:00,2025-06-08 08:00:00+00:00,SELL,10.0,51.01
2025-06-07 23:30:00+00:00,2025-06-08 10:00:00+00:00,BUY,10.0,33.34
2025-06-08 00:30:00+00:00,2025-06-08 11:00:00+00:00,BUY,10.0,28.77
2025-06-08 01:45:00+00:00,2025-06-08 10:00:00+00:00,SELL,10.0,43.59
2025-06-08 02:30:00+00:00,2025-06-08 13:00:00+00:00,BUY,10.0,34.7
2025-06-08 03:30:00+00:00,2025-06-08 14:00:00+00:00,BUY,10.0,33.24
2025-06-08 03:30:00+00:00,2025-06-08 11:00:00+00:00,SELL,10.0,42.81
2025-06-08 04:30:00+00:00,2025-06-08 15:00:00+00:00,BUY,10.0,27.07
2025-06-08 05:00:00+00:00,2025-06-08 14:00:00+00:00,SELL,10.0,40.96
2025-06-08 05:30:00+00:00,2025-06-08 13:00:00+00:00,SELL,10.0,41.95
2025-06-08 06:30:00+00:00,2025-06-08 17:00:00+00:00,BUY,10.0,42.58
2025-06-08 07:30:00+00:00,2025-06-08 15:00:00+00:00,SELL,10.0,39.13
2025-06-08 08:30:00+00:00,2025-06-08 17:00:00+00:00,SELL,10.0,52.38
2025-06-08 08:30:00+00:00,2025-06-08 19:00:00+00:00,BUY,10.0,44.93
2025-06-08 10:30:00+00:00,2025-06-08 21:00:00+00:00,BUY,10.0,40.78
2025-06-08 10:45:00+00:00,2025-06-08 19:00:00+00:00,SELL,10.0,50.63
2025-06-08 12:00:00+00:00,2025-06-08 21:00:00+00:00,SELL,10.0,47.48
2025-06-08 12:30:00+00:00,2025-06-08 23:00:00+00:00,BUY,10.0,33.43
2025-06-08 13:30:00+00:00,2025-06-09 00:00:00+00:00,BUY,10.0,27.25
2025-06-08 14:30:00+00:00,2025-06-09 01:00:00+00:00,BUY,10.0,17.67
2025-06-08 14:45:00+00:00,2025-06-08 23:00:00+00:00,SELL,10.0,38.1
2025-06-08 14:45:00+00:00,2025-06-09 00:00:00+00:00,SELL,10.0,33.55
2025-06-08 15:30:00+00:00,2025-06-09 02:00:00+00:00,BUY,10.0,25.4
2025-06-08 15:45:00+00:00,2025-06-09 01:00:00+00:00,SELL,10.0,32.44
2025-06-08 16:45:00+00:00,2025-06-09 02:00:00+00:00,SELL,10.0,32.91
2025-06-08 17:30:00+00:00,2025-06-09 04:00:00+00:00,BUY,10.0,30.87
2025-06-08 19:00:00+00:00,2025-06-09 04:00:00+00:00,SELL,10.0,38.33
2025-06-08 20:30:00+00:00,2025-06-09 07:00:00+00:00,BUY,10.0,46.54
2025-06-08 21:30:00+00:00,2025-06-09 07:00:00+00:00,SELL,10.0,50.31
2025-06-08 21:30:00+00:00,2025-06-09 08:00:00+00:00,BUY,10.0,47.72
2025-06-08 22:30:00+00:00,2025-06-09 09:00:00+00:00,BUY,10.0,37.43
2025-06-08 22:45:00+00:00,2025-06-09 08:00:00+00:00,SELL,10.0,51.82
2025-06-08 23:30:00+00:00,2025-06-09 10:00:00+00:00,BUY,10.0,38.04
2025-06-08 23:45:00+00:00,2025-06-09 09:00:00+00:00,SELL,10.0,39.08
2025-06-09 00:45:00+00:00,2025-06-09 10:00:00+00:00,SELL,10.0,38.28
2025-06-09 01:30:00+00:00,2025-06-09 12:00:00+00:00,BUY,10.0,32.87
2025-06-09 02:30:00+00:00,2025-06-09 13:00:00+00:00,BUY,10.0,34.01
2025-06-09 03:00:00+00:00,2025-06-09 12:00:00+00:00,SELL,10.0,29.91
2025-06-09 03:30:00+00:00,2025-06-09 14:00:00+00:00,BUY,10.0,38.37
2025-06-09 03:45:00+00:00,2025-06-09 13:00:00+00:00,SELL,10.0,35.45
2025-06-09 04:30:00+00:00,2025-06-09 15:00:00+00:00,BUY,10.0,32.0
2025-06-09 05:30:00+00:00,2025-06-09 15:00:00+00:00,SELL,10.0,32.36
2025-06-09 06:30:00+00:00,2025-06-09 17:00:00+00:00,BUY,10.0,52.07
2025-06-09 07:30:00+00:00,2025-06-09 18:00:00+00:00,BUY,10.0,41.15
2025-06-09 07:30:00+00:00,2025-06-09 14:00:00+00:00,SELL,10.0,37.26
2025-06-09 07:45:00+00:00,2025-06-09 17:00:00+00:00,SELL,10.0,53.47
2025-06-09 09:00:00+00:00,2025-06-09 18:00:00+00:00,SELL,10.0,45.25
2025-06-09 09:30:00+00:00,2025-06-09 20:00:00+00:00,BUY,10.0,34.8
2025-06-09 10:30:00+00:00,2025-06-09 21:00:00+00:00,BUY,10.0,22.37
2025-06-09 10:45:00+00:00,2025-06-09 20:00:00+00:00,SELL,10.0,37.91
2025-06-09 11:30:00+00:00,2025-06-09 22:00:00+00:00,BUY,10.0,24.64
2025-06-09 11:45:00+00:00,2025-06-09 21:00:00+00:00,SELL,10.0,31.09
2025-06-09 12:30:00+00:00,2025-06-09 23:00:00+00:00,BUY,10.0,22.4
2025-06-09 12:45:00+00:00,2025-06-09 22:00:00+00:00,SELL,10.0,30.4
2025-06-09 13:45:00+00:00,2025-06-09 23:00:00+00:00,SELL,10.0,31.58
