target_ts,variable,value_mw
2025-01-01 00:00:00+00:00,wind,2532.8
2025-01-01 01:00:00+00:00,wind,2470.1
2025-01-01 02:00:00+00:00,wind,2881.5
2025-01-01 03:00:00+00:00,wind,2691.7
2025-01-01 04:00:00+00:00,wind,3128.7
2025-01-01 05:00:00+00:00,wind,2889.2
2025-01-01 06:00:00+00:00,wind,2456.3
2025-01-01 07:00:00+00:00,wind,2228.6
2025-01-01 08:00:00+00:00,wind,2435.4
2025-01-01 09:00:00+00:00,wind,2558.0
2025-01-01 10:00:00+00:00,wind,2644.0
2025-01-01 11:00:00+00:00,wind,2532.9
2025-01-01 12:00:00+00:00,wind,2904.5
2025-01-01 13:00:00+00:00,wind,2920.6
2025-01-01 14:00:00+00:00,wind,2770.6
2025-01-01 15:00:00+00:00,wind,2528.4
2025-01-01 16:00:00+00:00,wind,2618.7
2025-01-01 17:00:00+00:00,wind,2720.3
2025-01-01 18:00:00+00:00,wind,2525.7
2025-01-01 19:00:00+00:00,wind,2161.7
2025-01-01 20:00:00+00:00,wind,2665.4
2025-01-01 21:00:00+00:00,wind,2035.5
2025-01-01 22:00:00+00:00,wind,2688.1
2025-01-01 23:00:00+00:00,wind,2889.0
2025-01-02 00:00:00+00:00,wind,1997.6
2025-01-02 01:00:00+00:00,wind,2442.6
2025-01-02 02:00:00+00:00,wind,2209.8
2025-01-02 03:00:00+00:00,wind,2073.4
2025-01-02 04:00:00+00:00,wind,2891.0
2025-01-02 05:00:00+00:00,wind,2713.0
2025-01-02 06:00:00+00:00,wind,2393.0
2025-01-02 07:00:00+00:00,wind,2281.0
2025-01-02 08:00:00+00:00,wind,2426.6
2025-01-02 09:00:00+00:00,wind,2330.2
2025-01-02 10:00:00+00:00,wind,2549.2
2025-01-02 11:00:00+00:00,wind,2125.9
2025-01-02 12:00:00+00:00,wind,2344.2
2025-01-02 13:00:00+00:00,wind,2261.6
2025-01-02 14:00:00+00:00,wind,2078.1
2025-01-02 15:00:00+00:00,wind,2917.7
2025-01-02 16:00:00+00:00,wind,2591.1
2025-01-02 17:00:00+00:00,wind,2153.7
2025-01-02 18:00:00+00:00,wind,1944.7
2025-01-02 19:00:00+00:00,wind,2064.6
2025-01-02 20:00:00+00:00,wind,2200.4
2025-01-02 21:00:00+00:00,wind,2091.9
2025-01-02 22:00:00+00:00,wind,1892.6
2025-01-02 23:00:00+00:00,wind,2055.2
2025-01-03 00:00:00+00:00,wind,2507.5
2025-01-03 01:00:00+00:00,wind,2570.6
2025-01-03 02:00:00+00:00,wind,1942.4
2025-01-03 03:00:00+00:00,wind,2458.1
2025-01-03 04:00:00+00:00,wind,2200.0
2025-01-03 05:00:00+00:00,wind,2163.4
2025-01-03 06:00:00+00:00,wind,2428.3
2025-01-03 07:00:00+00:00,wind,2470.9
2025-01-03 08:00:00+00:00,wind,2732.4
2025-01-03 09:00:00+00:00,wind,2756.3
2025-01-03 10:00:00+00:00,wind,2314.8
2025-01-03 11:00:00+00:00,wind,2244.6
2025-01-03 12:00:00+00:00,wind,3141.3
2025-01-03 13:00:00+00:00,wind,2950.3
2025-01-03 14:00:00+00:00,wind,2500.8
2025-01-03 15:00:00+00:00,wind,2514.0
2025-01-03 16:00:00+00:00,wind,2766.9
2025-01-03 17:00:00+00:00,wind,2844.4
2025-01-03 18:00:00+00:00,wind,2281.6
2025-01-03 19:00:00+00:00,wind,3001.0
2025-01-03 20:00:00+00:00,wind,2511.4
2025-01-03 21:00:00+00:00,wind,2885.0
2025-01-03 22:00:00+00:00,wind,2292.7
2025-01-03 23:00:00+00:00,wind,2537.8
2025-01-04 00:00:00+00:00,wind,4680.5
2025-01-04 01:00:00+00:00,wind,4729.7
2025-01-04 02:00:00+00:00,wind,4888.4
2025-01-04 03:00:00+00:00,wind,4299.3
2025-01-04 04:00:00+00:00,wind,4579.5
2025-01-04 05:00:00+00:00,wind,4843.0
2025-01-04 06:00:00+00:00,wind,4606.7
2025-01-04 07:00:00+00:00,wind,5283.2
2025-01-04 08:00:00+00:00,wind,4342.0
2025-01-04 09:00:00+00:00,wind,5426.5
2025-01-04 10:00:00+00:00,wind,4482.9
2025-01-04 11:00:00+00:00,wind,5031.8
2025-01-04 12:00:00+00:00,wind,5232.3
2025-01-04 13:00:00+00:00,wind,4932.0
2025-01-04 14:00:00+00:00,wind,4267.3
2025-01-04 15:00:00+00:00,wind,4679.3
2025-01-04 16:00:00+00:00,wind,4744.7
2025-01-04 17:00:00+00:00,wind,4848.4
2025-01-04 18:00:00+00:00,wind,4944.9
2025-01-04 19:00:00+00:00,wind,5058.8
