product_id,zone,delivery_start,delivery_end,resolution
0,ZONE1,2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,H
1,ZONE1,2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,H
2,ZONE1,2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,H
3,ZONE1,2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,H
4,ZONE1,2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,H
5,ZONE1,2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,H
6,ZONE1,2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,H
7,ZONE1,2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,H
8,ZONE1,2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,H
9,ZONE1,2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,H
10,ZONE1,2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,H
11,ZONE1,2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,H
12,ZONE1,2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,H
13,ZONE1,2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,H
14,ZONE1,2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,H
15,ZONE1,2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,H
16,ZONE1,2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,H
17,ZONE1,2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,H
18,ZONE1,2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,H
19,ZONE1,2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,H
20,ZONE1,2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,H
21,ZONE1,2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,H
22,ZONE1,2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,H
23,ZONE1,2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,H
24,ZONE1,2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,H
25,ZONE1,2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,H
26,ZONE1,2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,H
27,ZONE1,2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,H
28,ZONE1,2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,H
29,ZONE1,2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,H
30,ZONE1,2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,H
31,ZONE1,2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,H
32,ZONE1,2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,H
33,ZONE1,2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,H
34,ZONE1,2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,H
35,ZONE1,2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,H
36,ZONE1,2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,H
37,ZONE1,2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,H
38,ZONE1,2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,H
39,ZONE1,2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,H
40,ZONE1,2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,H
41,ZONE1,2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,H
42,ZONE1,2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,H
43,ZONE1,2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,H
44,ZONE1,2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,H
45,ZONE1,2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,H
46,ZONE1,2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,H
47,ZONE1,2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,H
48,ZONE1,2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,H
49,ZONE1,2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,H
50,ZONE1,2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,H
51,ZONE1,2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,H
52,ZONE1,2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,H
53,ZONE1,2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,H
54,ZONE1,2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,H
55,ZONE1,2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,H
56,ZONE1,2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,H
57,ZONE1,2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,H
58,ZONE1,2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,H
59,ZONE1,2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,H
60,ZONE1,2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,H
61,ZONE1,2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,H
62,ZONE1,2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,H
63,ZONE1,2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,H
64,ZONE1,2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,H
65,ZONE1,2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,H
66,ZONE1,2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,H
67,ZONE1,2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,H
68,ZONE1,2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,H
69,ZONE1,2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,H
